Zeit	Weg	Kraft
s	mm	N
0.02	0.2846	10.5317
0.04	0.2849	10.6656
0.06	0.2852	10.7939
0.08	0.2853	10.8487
0.1	0.2853	10.8616
0.12	0.2853	10.8681
0.14	0.2853	10.8713
0.16	0.2853	10.8737
0.18	0.2853	10.877
0.2	0.2853	10.877
0.22	0.2853	10.881
0.24	0.2853	10.881
0.26	0.2853	10.8818
0.28	0.2853	10.8842
0.3	0.2853	10.8834
0.32	0.2853	10.8834
0.34	0.2853	10.885
0.36	0.2853	10.8866
0.38	0.2853	10.8866
0.4	0.2853	10.8858
0.42	0.2853	10.8891
0.44	0.2853	10.8891
0.46	0.2853	10.8891
0.48	0.2853	10.8899
0.5	0.2853	10.8899
0.52	0.2853	10.8915
0.54	0.2853	10.8923
0.56	0.2853	10.8907
0.58	0.2853	10.8923
0.6	0.2853	10.8915
0.62	0.2853	10.8931
0.64	0.2853	10.8931
0.66	0.2853	10.8923
0.68	0.2853	10.8939
0.7	0.2853	10.8931
0.72	0.2853	10.8931
0.74	0.2853	10.8955
0.76	0.2853	10.8939
0.78	0.2853	10.8955
0.8	0.2853	10.8939
0.82	0.2853	10.8947
0.84	0.2853	10.8971
0.86	0.2853	10.8947
0.88	0.2853	10.8963
0.9	0.2853	10.8947
0.92	0.2853	10.8971
0.94	0.2853	10.8971
0.96	0.2853	10.8971
0.98	0.2853	10.8979
1.	0.2853	10.8955
1.02	0.2853	10.8979
1.04	0.2853	10.8979
1.06	0.2853	10.8971
1.08	0.2853	10.8996
1.1	0.2853	10.8963
1.12	0.2853	10.8996
1.14	0.2853	10.8987
1.16	0.2853	10.8979
1.18	0.2853	10.8987
1.2	0.2853	10.8963
1.22	0.2853	10.8996
1.24	0.2853	10.8979
1.26	0.2853	10.8979
1.28	0.2853	10.8971
1.3	0.2853	10.8987
1.32	0.2853	10.8987
1.34	0.2853	10.8963
1.36	0.2854	10.9004
1.38	0.2854	10.9012
1.4	0.2854	10.9068
1.42	0.2854	10.9109
1.44	0.2854	10.9141
1.46	0.2854	10.9181
1.48	0.2854	10.9197
1.5	0.2854	10.9213
1.52	0.2854	10.9246
1.54	0.2854	10.9254
1.56	0.2854	10.9278
1.58	0.2854	10.927
1.6	0.2854	10.9286
1.62	0.2854	10.9302
1.64	0.2854	10.9294
1.66	0.2854	10.9318
1.68	0.2854	10.9318
1.7	0.2854	10.9326
1.72	0.2854	10.9334
1.74	0.2854	10.9334
1.76	0.2854	10.9359
1.78	0.2854	10.9367
1.8	0.2854	10.9375
1.82	0.2854	10.9383
1.84	0.2854	10.9375
1.86	0.2854	10.9399
1.88	0.2854	10.9383
1.9	0.2854	10.9415
1.92	0.2854	10.9431
1.94	0.2854	10.9423
1.96	0.2854	10.9439
1.98	0.2854	10.9431
2.	0.2855	10.9439
2.02	0.2855	10.9455
2.04	0.2855	10.948
2.06	0.2855	10.9463
2.08	0.2855	10.948
2.1	0.2855	10.9496
2.12	0.2855	10.9504
2.14	0.2855	10.9512
2.16	0.2855	10.952
2.18	0.2855	10.952
2.2	0.2855	10.9544
2.22	0.2855	10.9544
2.24	0.2855	10.9552
2.26	0.2855	10.9552
2.28	0.2855	10.9576
2.3	0.2855	10.9576
2.32	0.2855	10.9593
2.34	0.2855	10.9601
2.36	0.2855	10.9601
2.38	0.2855	10.9625
2.4	0.2855	10.9617
2.42	0.2855	10.9641
2.44	0.2855	10.9649
2.46	0.2855	10.9673
2.48	0.2855	10.9665
2.5	0.2855	10.9689
