Zeit	Weg	Kraft
s	mm	N
0.02	0.2762	10.4591
0.04	0.2766	10.5987
0.06	0.2769	10.7148
0.08	0.2769	10.7753
0.1	0.2769	10.7858
0.12	0.2769	10.7858
0.14	0.2769	10.7915
0.16	0.2769	10.7923
0.18	0.2769	10.7979
0.2	0.2769	10.7963
0.22	0.2769	10.7939
0.24	0.2769	10.8028
0.26	0.2769	10.8012
0.28	0.2769	10.7996
0.3	0.2769	10.8012
0.32	0.2769	10.7987
0.34	0.2769	10.806
0.36	0.2769	10.7996
0.38	0.2769	10.802
0.4	0.2769	10.8012
0.42	0.2769	10.7979
0.44	0.2769	10.8052
0.46	0.2769	10.802
0.48	0.2769	10.802
0.5	0.2769	10.8012
0.52	0.2769	10.7987
0.54	0.2769	10.8092
0.56	0.2769	10.8012
0.58	0.2769	10.8036
0.6	0.2769	10.7979
0.62	0.2769	10.8004
0.64	0.2769	10.8036
0.66	0.2769	10.802
0.68	0.2769	10.8028
0.7	0.2769	10.8004
0.72	0.2769	10.8012
0.74	0.2769	10.806
0.76	0.2769	10.8036
0.78	0.2769	10.7996
0.8	0.2769	10.8012
0.82	0.2769	10.802
0.84	0.2769	10.8044
0.86	0.2769	10.8044
0.88	0.2769	10.8052
0.9	0.2769	10.802
0.92	0.2769	10.8036
0.94	0.2769	10.806
0.96	0.2769	10.8044
0.98	0.2769	10.8036
1.	0.2769	10.8012
1.02	0.2769	10.806
1.04	0.2769	10.8044
1.06	0.2769	10.8084
1.08	0.2769	10.8068
1.1	0.2769	10.802
1.12	0.277	10.8068
1.14	0.277	10.8068
1.16	0.277	10.8068
1.18	0.277	10.8028
1.2	0.277	10.8004
1.22	0.277	10.8036
1.24	0.277	10.8012
1.26	0.277	10.8036
1.28	0.277	10.8052
1.3	0.277	10.8052
1.32	0.277	10.806
1.34	0.277	10.8084
1.36	0.277	10.8092
1.38	0.277	10.8133
1.4	0.277	10.8108
1.42	0.2771	10.8157
1.44	0.2771	10.8165
1.46	0.2771	10.8229
1.48	0.2771	10.8246
1.5	0.2771	10.8246
1.52	0.2771	10.8278
1.54	0.2771	10.8286
1.56	0.2771	10.831
1.58	0.2771	10.8318
1.6	0.2771	10.8326
1.62	0.2771	10.8342
1.64	0.2771	10.8326
1.66	0.2771	10.8391
1.68	0.2771	10.8391
1.7	0.2771	10.8431
1.72	0.2771	10.8463
1.74	0.2771	10.8504
1.76	0.2771	10.8568
1.78	0.2771	10.8528
1.8	0.2771	10.8544
1.82	0.2771	10.8584
1.84	0.2771	10.8584
1.86	0.2771	10.8625
1.88	0.2771	10.8593
1.9	0.2771	10.8633
1.92	0.2771	10.8601
1.94	0.2771	10.8609
1.96	0.2771	10.8665
1.98	0.2771	10.8633
2.	0.2771	10.8673
2.02	0.2771	10.8633
2.04	0.2771	10.8649
2.06	0.2771	10.8673
2.08	0.2771	10.8649
2.1	0.2771	10.8681
2.12	0.2771	10.8641
2.14	0.2771	10.8665
2.16	0.2771	10.8673
2.18	0.2771	10.8681
2.2	0.2771	10.8681
2.22	0.2771	10.8665
2.24	0.2771	10.8681
2.26	0.2771	10.8673
2.28	0.2771	10.8689
2.3	0.2771	10.8673
2.32	0.2771	10.8657
2.34	0.2772	10.8681
2.36	0.2772	10.8665
2.38	0.2772	10.8689
2.4	0.2772	10.8681
2.42	0.2772	10.8689
2.44	0.2772	10.8697
2.46	0.2772	10.8689
2.48	0.2772	10.8714
2.5	0.2772	10.8722
2.52	0.2772	10.8714
2.54	0.2772	10.8746
2.56	0.2772	10.877
2.58	0.2772	10.877
2.6	0.2772	10.8754
2.62	0.2772	10.8802
2.64	0.2772	10.8851
2.66	0.2772	10.881
2.68	0.2772	10.881
2.7	0.2772	10.8851
2.72	0.2772	10.8859
2.74	0.2772	10.8859
2.76	0.2772	10.8851
2.78	0.2772	10.8891
2.8	0.2772	10.8915
2.82	0.2772	10.8939
2.84	0.2772	10.898
2.86	0.2772	10.9012
2.88	0.2772	10.9012
2.9	0.2772	10.902
2.92	0.2772	10.9052
2.94	0.2772	10.906
2.96	0.2772	10.9069
2.98	0.2772	10.9077
3.	0.2772	10.9101
3.02	0.2772	10.9093
3.04	0.2772	10.9109
3.06	0.2772	10.9109
3.08	0.2772	10.9109
3.1	0.2772	10.9117
3.12	0.2772	10.9109
3.14	0.2772	10.9133
3.16	0.2772	10.9133
3.18	0.2773	10.9117
3.2	0.2773	10.9133
3.22	0.2773	10.9133
3.24	0.2773	10.9157
3.26	0.2773	10.9133
3.28	0.2773	10.9157
3.3	0.2773	10.9165
3.32	0.2773	10.9157
3.34	0.2773	10.9181
3.36	0.2773	10.9181
3.38	0.2773	10.919
3.4	0.2773	10.9206
3.42	0.2773	10.9214
3.44	0.2773	10.9262
3.46	0.2773	10.927
3.48	0.2773	10.9302
3.5	0.2773	10.9294
3.52	0.2773	10.9319
3.54	0.2773	10.9335
3.56	0.2773	10.9343
3.58	0.2773	10.9375
3.6	0.2773	10.9375
3.62	0.2773	10.9367
3.64	0.2773	10.9399
3.66	0.2773	10.9383
