Zeit	Weg	Kraft
s	mm	N
0.02	0.2437	5.5527
0.04	0.2441	5.6987
0.06	0.2444	5.8488
0.08	0.2447	5.9778
0.1	0.2449	6.0892
0.12	0.2452	6.1844
0.14	0.2454	6.2892
0.16	0.2457	6.4102
0.18	0.246	6.5353
0.2	0.2462	6.6515
0.22	0.2465	6.7563
0.24	0.2467	6.8685
0.26	0.247	6.983
0.28	0.2473	7.0951
0.3	0.2475	7.2041
0.32	0.2477	7.3057
0.34	0.248	7.4162
0.36	0.2482	7.5332
0.38	0.2485	7.6558
0.4	0.2488	7.7736
0.42	0.249	7.8785
0.44	0.2493	7.9858
0.46	0.2495	8.0955
0.48	0.2497	8.2012
0.5	0.25	8.3149
0.52	0.2502	8.4222
0.54	0.2505	8.523
0.56	0.2507	8.6287
0.58	0.251	8.7328
0.6	0.2512	8.8506
0.62	0.2515	8.9716
0.64	0.2518	9.0934
0.66	0.252	9.2039
0.68	0.2523	9.3217
0.7	0.2525	9.433
0.72	0.2527	9.5121
0.74	0.2529	9.5976
0.76	0.2532	9.713
0.78	0.2534	9.8299
0.8	0.2537	9.9437
0.82	0.254	10.0607
0.84	0.2542	10.1776
0.86	0.2545	10.2978
0.88	0.2547	10.4132
0.9	0.255	10.5277
0.92	0.2552	10.6383
0.94	0.2555	10.7528
0.96	0.2558	10.8666
0.98	0.256	10.9739
1.	0.2562	11.082
1.02	0.2565	11.1876
1.04	0.2567	11.3062
1.06	0.257	11.4216
1.08	0.2572	11.5232
1.1	0.2575	11.6233
1.12	0.2577	11.7314
1.14	0.258	11.8532
1.16	0.2583	11.9806
1.18	0.2585	12.0928
1.2	0.2587	12.1993
1.22	0.259	12.3098
1.24	0.2592	12.4243
1.26	0.2595	12.5316
1.28	0.2597	12.6381
1.3	0.26	12.7462
1.32	0.2602	12.8624
1.34	0.2605	12.985
1.36	0.2607	13.098
1.38	0.261	13.2141
1.4	0.2613	13.3376
1.42	0.2615	13.4489
1.44	0.2617	13.5554
1.46	0.262	13.6627
1.48	0.2623	13.7804
1.5	0.2625	13.9039
1.52	0.2627	13.9999
1.54	0.2629	14.0959
1.56	0.2632	14.204
1.58	0.2634	14.3234
1.6	0.2637	14.4428
1.62	0.264	14.5622
1.64	0.2643	14.684
1.66	0.2645	14.7993
1.68	0.2647	14.9082
1.7	0.265	15.022
1.72	0.2652	15.143
1.74	0.2655	15.2696
1.76	0.2658	15.3866
1.78	0.266	15.4971
1.8	0.2663	15.6028
1.82	0.2665	15.7141
1.84	0.2668	15.8335
1.86	0.267	15.94
1.88	0.2672	16.0465
1.9	0.2675	16.1578
1.92	0.2677	16.2684
1.94	0.268	16.3724
1.96	0.2682	16.4757
1.98	0.2685	16.5894
2.	0.2687	16.708
2.02	0.269	16.8234
2.04	0.2692	16.9363
2.06	0.2695	17.0452
2.08	0.2697	17.1638
2.1	0.27	17.2856
2.12	0.2703	17.3994
2.14	0.2705	17.518
2.16	0.2708	17.6349
2.18	0.271	17.7366
2.2	0.2713	17.8423
2.22	0.2715	17.9536
2.24	0.2718	18.0706
2.26	0.272	18.1795
2.28	0.2722	18.2819
2.3	0.2725	18.3917
2.32	0.2727	18.5014
2.34	0.273	18.6167
2.36	0.2732	18.7337
2.38	0.2735	18.8507
2.4	0.2737	18.9531
2.42	0.2739	19.0491
2.44	0.2742	19.1548
2.46	0.2744	19.2669
2.48	0.2747	19.3888
2.5	0.275	19.5106
2.52	0.2752	19.6259
2.54	0.2755	19.7445
2.56	0.2757	19.8655
2.58	0.276	19.9873
2.6	0.2763	20.1043
2.62	0.2765	20.2124
2.64	0.2768	20.3294
2.66	0.277	20.4456
2.68	0.2773	20.569
2.7	0.2776	20.6989
2.72	0.2778	20.807
2.74	0.278	20.8965
2.76	0.2782	20.9869
2.78	0.2785	21.1071
2.8	0.2788	21.2281
2.82	0.279	21.3346
2.84	0.2793	21.4467
2.86	0.2795	21.5492
2.88	0.2797	21.6452
2.9	0.28	21.7525
2.92	0.2802	21.8678
2.94	0.2805	21.9864
2.96	0.2807	22.0977
2.98	0.281	22.2091
3.	0.2812	22.318
3.02	0.2815	22.4325
3.04	0.2817	22.5495
3.06	0.2819	22.6568
3.08	0.2822	22.7617
3.1	0.2824	22.873
3.12	0.2827	23.0021
3.14	0.283	23.1327
3.16	0.2832	23.2513
3.18	0.2835	23.3611
3.2	0.2837	23.4667
3.22	0.2839	23.5684
3.24	0.2842	23.691
3.26	0.2845	23.8233
3.28	0.2847	23.9516
3.3	0.285	24.0702
3.32	0.2852	24.1815
3.34	0.2855	24.2985
3.36	0.2858	24.4219
3.38	0.286	24.5429
3.4	0.2862	24.6574
3.42	0.2865	24.7696
3.44	0.2868	24.8898
3.46	0.287	25.014
3.48	0.2873	25.1391
3.5	0.2876	25.2528
3.52	0.2878	25.3617
3.54	0.288	25.4674
3.56	0.2883	25.5763
3.58	0.2885	25.6925
3.6	0.2888	25.8062
3.62	0.289	25.9087
3.64	0.2892	26.0095
3.66	0.2895	26.1289
3.68	0.2897	26.2556
3.7	0.29	26.3782
3.72	0.2902	26.4887
3.74	0.2905	26.6
3.76	0.2907	26.7154
3.78	0.291	26.8348
3.8	0.2912	26.955
3.82	0.2915	27.0744
3.84	0.2917	27.193
3.86	0.292	27.314
3.88	0.2923	27.4382
3.9	0.2925	27.5552
3.92	0.2927	27.6673
3.94	0.293	27.7996
3.96	0.2933	27.9287
3.98	0.2936	28.0554
4.	0.2938	28.1909
4.02	0.2941	28.2998
4.04	0.2943	28.3982
4.06	0.2945	28.4999
4.08	0.2947	28.6031
4.1	0.2949	28.7144
4.12	0.2952	28.8298
4.14	0.2954	28.9452
4.16	0.2957	29.0597
4.18	0.296	29.1872
4.2	0.2962	29.3187
4.22	0.2965	29.4461
4.24	0.2968	29.5704
4.26	0.297	29.6898
4.28	0.2973	29.8092
4.3	0.2975	29.9334
4.32	0.2978	30.0504
4.34	0.298	30.1593
4.36	0.2982	30.2666
4.38	0.2985	30.3771
4.4	0.2987	30.4933
4.42	0.299	30.6183
4.44	0.2992	30.7353
4.46	0.2995	30.8442
4.48	0.2997	30.9604
4.5	0.3	31.087
4.52	0.3003	31.2169
4.54	0.3005	31.3444
4.56	0.3008	31.4621
4.58	0.301	31.5718
4.6	0.3013	31.6848
4.62	0.3015	31.7961
4.64	0.3017	31.905
4.66	0.302	32.0131
4.68	0.3023	32.1406
4.7	0.3025	32.268
4.72	0.3028	32.3721
4.74	0.3029	32.4649
4.76	0.3032	2.5703
