Zeit	Weg	Kraft
s	mm	N
0.02	0.2411	5.5253
0.04	0.2415	5.6761
0.06	0.2418	5.8028
0.08	0.242	5.9101
0.1	0.2422	6.0069
0.12	0.2425	6.1134
0.14	0.2428	6.232
0.16	0.243	6.3376
0.18	0.2433	6.4377
0.2	0.2435	6.5337
0.22	0.2437	6.6369
0.24	0.244	6.7563
0.26	0.2443	6.8701
0.28	0.2445	6.9903
0.3	0.2448	7.1064
0.32	0.245	7.2178
0.34	0.2453	7.3388
0.36	0.2455	7.4453
0.38	0.2458	7.5582
0.4	0.246	7.6711
0.42	0.2463	7.7801
0.44	0.2465	7.889
0.46	0.2468	7.9954
0.48	0.247	8.1181
0.5	0.2473	8.2383
0.52	0.2476	8.3488
0.54	0.2478	8.4642
0.56	0.2481	8.5755
0.58	0.2483	8.69
0.6	0.2486	8.7997
0.62	0.2488	8.9095
0.64	0.2491	9.0321
0.66	0.2493	9.1426
0.68	0.2496	9.258
0.7	0.2498	9.3661
0.72	0.25	9.4709
0.74	0.2503	9.5782
0.76	0.2505	9.692
0.78	0.2508	9.8162
0.8	0.2511	9.9388
0.82	0.2513	10.0607
0.84	0.2516	10.1712
0.86	0.2518	10.2664
0.88	0.2521	10.3809
0.9	0.2523	10.5027
0.92	0.2526	10.6084
0.94	0.2528	10.7125
0.96	0.253	10.8125
0.98	0.2533	10.9295
1.	0.2536	11.0521
1.02	0.2538	11.1594
1.04	0.254	11.2586
1.06	0.2543	11.3692
1.08	0.2545	11.4885
1.1	0.2548	11.6128
1.12	0.2551	11.7354
1.14	0.2553	11.8524
1.16	0.2556	11.9548
1.18	0.2558	12.0508
1.2	0.256	12.1509
1.22	0.2563	12.2654
1.24	0.2565	12.3937
1.26	0.2568	12.5115
1.28	0.257	12.6244
1.3	0.2573	12.739
1.32	0.2575	12.8503
1.34	0.2578	12.9632
1.36	0.258	13.0657
1.38	0.2583	13.1819
1.4	0.2585	13.3109
1.42	0.2588	13.4231
1.44	0.259	13.5352
1.46	0.2593	13.6538
1.48	0.2596	13.7659
1.5	0.2598	13.8651
1.52	0.26	13.9741
1.54	0.2603	14.1023
1.56	0.2606	14.2136
1.58	0.2608	14.3193
1.6	0.2611	14.4444
1.62	0.2613	14.5654
1.64	0.2616	14.6711
1.66	0.2618	14.7679
1.68	0.262	14.876
1.7	0.2623	14.9978
1.72	0.2626	15.1164
1.74	0.2628	15.2261
1.76	0.263	15.3334
1.78	0.2633	15.4463
1.8	0.2635	15.5617
1.82	0.2638	15.669
1.84	0.2641	15.7876
1.86	0.2643	15.9142
1.88	0.2646	16.0296
1.9	0.2648	16.132
1.92	0.265	16.2304
1.94	0.2653	16.3466
1.96	0.2655	16.4636
1.98	0.2658	16.579
2.	0.2661	16.7024
2.02	0.2663	16.8105
2.04	0.2665	16.9194
2.06	0.2668	17.0267
2.08	0.2671	17.1404
2.1	0.2673	17.2534
2.12	0.2675	17.3607
2.14	0.2678	17.4752
2.16	0.268	17.5898
2.18	0.2683	17.7019
2.2	0.2686	17.8173
2.22	0.2688	17.9342
2.24	0.2691	18.0432
2.26	0.2693	18.1424
2.28	0.2695	18.2497
2.3	0.2698	18.3634
2.32	0.27	18.4707
2.34	0.2703	18.5901
2.36	0.2706	18.7079
2.38	0.2708	18.8152
2.4	0.271	18.9233
2.42	0.2713	19.0419
2.44	0.2716	19.1653
2.46	0.2718	19.2758
2.48	0.272	19.3783
2.5	0.2723	19.4928
2.52	0.2726	19.6058
2.54	0.2728	19.7155
2.56	0.273	19.8212
2.58	0.2733	19.9293
2.6	0.2735	20.0487
2.62	0.2738	20.1527
2.64	0.274	20.2649
2.66	0.2743	20.381
2.68	0.2745	20.4964
2.7	0.2748	20.6134
2.72	0.275	20.7255
2.74	0.2753	20.8425
2.76	0.2755	20.9522
2.78	0.2758	21.0708
2.8	0.2761	21.1966
2.82	0.2763	21.3144
2.84	0.2766	21.4241
2.86	0.2768	21.5177
2.88	0.277	21.6298
2.9	0.2773	21.7549
2.92	0.2775	21.8638
2.94	0.2778	21.9751
2.96	0.278	22.0889
2.98	0.2783	22.2002
3.	0.2786	22.3139
3.02	0.2788	22.422
3.04	0.279	22.5269
3.06	0.2793	22.6398
3.08	0.2796	22.7592
3.1	0.2798	22.873
3.12	0.28	22.9795
3.14	0.2803	23.0964
3.16	0.2806	23.2175
3.18	0.2808	23.3256
3.2	0.281	23.4361
3.22	0.2813	23.5393
3.24	0.2815	23.6466
3.26	0.2818	23.7902
3.28	0.2821	23.937
3.3	0.2823	24.0548
3.32	0.2825	24.15
3.34	0.2828	24.2597
3.36	0.283	24.3807
3.38	0.2833	24.4929
3.4	0.2835	24.6042
3.42	0.2838	24.718
3.44	0.284	24.839
3.46	0.2843	24.9567
3.48	0.2845	25.0648
3.5	0.2848	25.1859
3.52	0.2851	25.3036
3.54	0.2853	25.4125
3.56	0.2855	25.5166
3.58	0.2858	25.6408
3.6	0.286	25.7748
3.62	0.2863	25.8796
3.64	0.2865	25.9966
3.66	0.2868	26.1168
3.68	0.287	26.2281
3.7	0.2873	26.3491
3.72	0.2875	26.4621
3.74	0.2878	26.5863
3.76	0.2881	26.6993
3.78	0.2883	26.8041
3.8	0.2885	26.9219
3.82	0.2888	27.034
3.84	0.289	27.1575
3.86	0.2893	27.2833
3.88	0.2896	27.3947
3.9	0.2898	27.5084
3.92	0.29	27.6254
3.94	0.2903	27.7399
3.96	0.2905	27.8448
3.98	0.2908	27.9852
4.	0.2911	28.1328
