Zeit	Weg	Kraft
s	mm	N
0.02	0.2412	5.3873
0.04	0.2416	5.5446
0.06	0.242	5.6915
0.08	0.2422	5.806
0.1	0.2424	5.906
0.12	0.2427	6.0053
0.14	0.2429	6.1093
0.16	0.2432	6.2231
0.18	0.2434	6.3167
0.2	0.2436	6.4143
0.22	0.244	6.5514
0.24	0.2443	6.6894
0.26	0.2445	6.8023
0.28	0.2448	6.9064
0.3	0.245	7.0129
0.32	0.2453	7.1274
0.34	0.2455	7.2363
0.36	0.2457	7.3372
0.38	0.246	7.4509
0.4	0.2462	7.559
0.42	0.2465	7.6671
0.44	0.2467	7.7728
0.46	0.2469	7.8761
0.48	0.2472	7.9971
0.5	0.2475	8.1326
0.52	0.2478	8.248
0.54	0.248	8.348
0.56	0.2482	8.4545
0.58	0.2485	8.5771
0.6	0.2487	8.6916
0.62	0.249	8.8014
0.64	0.2492	8.9095
0.66	0.2495	9.0264
0.68	0.2498	9.1547
0.7	0.25	9.2709
0.72	0.2503	9.383
0.74	0.2505	9.4911
0.76	0.2507	9.5992
0.78	0.251	9.7
0.8	0.2512	9.7969
0.82	0.2514	9.9098
0.84	0.2517	10.026
0.86	0.252	10.1583
0.88	0.2523	10.2793
0.9	0.2525	10.3793
0.92	0.2527	10.4826
0.94	0.253	10.5842
0.96	0.2532	10.6859
0.98	0.2535	10.7964
1.	0.2537	10.9085
1.02	0.254	11.0408
1.04	0.2543	11.161
1.06	0.2545	11.2635
1.08	0.2547	11.3732
1.1	0.255	11.4885
1.12	0.2552	11.5918
1.14	0.2555	11.7023
1.16	0.2557	11.8233
1.18	0.256	11.9677
1.2	0.2563	12.0831
1.22	0.2565	12.1791
1.24	0.2567	12.2848
1.26	0.257	12.3913
1.28	0.2572	12.5058
1.3	0.2575	12.6301
1.32	0.2577	12.7365
1.34	0.258	12.8438
1.36	0.2582	12.9657
1.38	0.2585	13.0883
1.4	0.2587	13.1891
1.42	0.259	13.2988
1.44	0.2592	13.4085
1.46	0.2595	13.5207
1.48	0.2597	13.6377
1.5	0.26	13.7522
1.52	0.2602	13.8651
1.54	0.2605	13.9797
1.56	0.2607	14.0999
1.58	0.261	14.2153
1.6	0.2612	14.3217
1.62	0.2615	14.4476
1.64	0.2618	14.5855
1.66	0.262	14.6912
1.68	0.2622	14.7711
1.7	0.2624	14.8711
1.72	0.2628	15.0099
1.74	0.2631	15.1511
1.76	0.2633	15.2535
1.78	0.2635	15.335
1.8	0.2637	15.431
1.82	0.264	15.5439
1.84	0.2642	15.6569
1.86	0.2645	15.7771
1.88	0.2648	15.911
1.9	0.265	16.0167
1.92	0.2652	16.1232
1.94	0.2655	16.2353
1.96	0.2658	16.366
1.98	0.2661	16.5031
2.	0.2663	16.6032
2.02	0.2665	16.6943
2.04	0.2667	16.7976
2.06	0.267	16.9186
2.08	0.2673	17.0598
2.1	0.2675	17.1662
2.12	0.2678	17.2655
2.14	0.268	17.3808
2.16	0.2683	17.497
2.18	0.2685	17.6051
2.2	0.2687	17.7035
2.22	0.269	17.8148
2.24	0.2693	17.9375
2.26	0.2695	18.048
2.28	0.2697	18.1513
2.3	0.27	18.2577
2.32	0.2702	18.3707
2.34	0.2704	18.4562
2.36	0.2706	18.5554
2.38	0.271	18.7063
2.4	0.2713	18.8466
2.42	0.2715	18.9604
2.44	0.2718	19.0637
2.46	0.272	19.1782
2.48	0.2723	19.296
2.5	0.2725	19.4001
2.52	0.2727	19.5049
2.54	0.273	19.6163
2.56	0.2732	19.734
2.58	0.2735	19.8559
2.6	0.2738	19.9615
2.62	0.274	20.068
2.64	0.2742	20.1721
2.66	0.2745	20.281
2.68	0.2747	20.3931
2.7	0.2749	20.4915
2.72	0.2752	20.6093
2.74	0.2755	20.744
2.76	0.2757	20.857
2.78	0.276	20.9683
2.8	0.2762	21.0837
2.82	0.2765	21.199
2.84	0.2768	21.3112
2.86	0.277	21.4193
2.88	0.2772	21.5258
2.9	0.2775	21.6347
2.92	0.2777	21.7436
2.94	0.278	21.8525
2.96	0.2782	21.9703
2.98	0.2785	22.0921
3.	0.2787	22.1994
3.02	0.279	22.3091
3.04	0.2792	22.4212
3.06	0.2795	22.5398
3.08	0.2798	22.6592
3.1	0.28	22.7738
3.12	0.2803	22.8891
3.14	0.2805	22.9964
3.16	0.2807	23.0997
3.18	0.281	23.2158
3.2	0.2813	23.3635
3.22	0.2815	23.4934
3.24	0.2818	23.5998
3.26	0.282	23.712
3.28	0.2823	23.8354
3.3	0.2825	23.9491
3.32	0.2827	24.0605
3.34	0.283	24.1686
3.36	0.2832	24.2791
3.38	0.2835	24.3896
3.4	0.2837	24.4953
3.42	0.2839	24.6066
3.44	0.2842	24.7462
3.46	0.2845	24.8704
3.48	0.2847	24.9737
3.5	0.285	25.0858
3.52	0.2852	25.202
3.54	0.2855	25.3125
3.56	0.2857	25.4287
3.58	0.286	25.5699
3.6	0.2863	25.6901
3.62	0.2865	25.7973
3.64	0.2868	25.9143
3.66	0.287	26.0281
3.68	0.2872	26.1329
3.7	0.2875	26.2354
3.72	0.2877	26.3403
3.74	0.2879	26.4572
3.76	0.2882	26.5783
3.78	0.2885	26.6976
3.8	0.2887	26.8114
3.82	0.289	26.9574
3.84	0.2893	27.0921
3.86	0.2895	27.1914
3.88	0.2897	27.293
3.9	0.29	27.4035
3.92	0.2902	27.5165
3.94	0.2905	27.6399
3.96	0.2907	27.7754
3.98	0.291	27.8964
4.	0.2912	27.9989
4.02	0.2915	28.1151
4.04	0.2918	28.253
4.06	0.292	28.3756
4.08	0.2922	28.4781
4.1	0.2925	28.5862
4.12	0.2927	28.7112
4.14	0.293	28.8403
4.16	0.2932	28.9581
4.18	0.2935	29.0726
4.2	0.2938	29.209
4.22	0.294	29.3356
4.24	0.2942	29.4429
4.26	0.2945	29.5607
4.28	0.2947	29.6801
4.3	0.295	29.789
4.32	0.2952	29.9165
4.34	0.2955	30.0665
4.36	0.2958	30.1835
4.38	0.296	30.2835
4.4	0.2963	30.4037
4.42	0.2965	30.5207
4.44	0.2967	30.6256
4.46	0.2969	30.7329
4.48	0.2972	30.8579
4.5	0.2975	30.9781
4.52	0.2977	31.0862
4.54	0.298	31.2145
4.56	0.2982	31.3395
4.58	0.2985	31.4436
4.6	0.2987	31.5573
4.62	0.299	31.7154
4.64	0.2993	2.2105
