Zeit	Weg	Kraft
s	mm	N
0.02	0.2402	5.2236
0.04	0.2405	5.3518
0.06	0.2409	5.4906
0.08	0.2412	5.6092
0.1	0.2414	5.6955
0.12	0.2416	5.7996
0.14	0.2419	5.9238
0.16	0.2422	6.0367
0.18	0.2425	6.1497
0.2	0.2428	6.2699
0.22	0.243	6.361
0.24	0.2432	6.4498
0.26	0.2434	6.5514
0.28	0.2437	6.6619
0.3	0.244	6.7878
0.32	0.2443	6.9153
0.34	0.2445	7.0121
0.36	0.2447	7.1129
0.38	0.245	7.2387
0.4	0.2453	7.363
0.42	0.2455	7.459
0.44	0.2457	7.5534
0.46	0.246	7.6599
0.48	0.2462	7.7671
0.5	0.2465	7.8801
0.52	0.2467	8.0051
0.54	0.247	8.1189
0.56	0.2472	8.2044
0.58	0.2475	8.3157
0.6	0.2477	8.444
0.62	0.248	8.5569
0.64	0.2482	8.6562
0.66	0.2485	8.7707
0.68	0.2488	8.899
0.7	0.249	9.0055
0.72	0.2492	9.0845
0.74	0.2494	9.1854
0.76	0.2497	9.3177
0.78	0.25	9.4443
0.8	0.2502	9.55
0.82	0.2505	9.6412
0.84	0.2507	9.7573
0.86	0.251	9.8767
0.88	0.2512	9.98
0.9	0.2515	10.0865
0.92	0.2517	10.2018
0.94	0.2519	10.2881
0.96	0.2522	10.3801
0.98	0.2524	10.4955
1.	0.2528	10.6318
1.02	0.253	10.7472
1.04	0.2532	10.844
1.06	0.2535	10.9561
1.08	0.2538	11.0747
1.1	0.254	11.1828
1.12	0.2542	11.2909
1.14	0.2545	11.4095
1.16	0.2547	11.5168
1.18	0.255	11.6136
1.2	0.2552	11.7306
1.22	0.2555	11.8532
1.24	0.2557	11.9581
1.26	0.2559	12.0412
1.28	0.2562	12.1581
1.3	0.2565	12.2977
1.32	0.2568	12.4276
1.34	0.257	12.5252
1.36	0.2572	12.6147
1.38	0.2575	12.7309
1.4	0.2578	12.8567
1.42	0.258	12.9624
1.44	0.2582	13.06
1.46	0.2585	13.1714
1.48	0.2587	13.2932
1.5	0.259	13.4005
1.52	0.2592	13.5126
1.54	0.2595	13.636
1.56	0.2598	13.7619
1.58	0.26	13.8853
1.6	0.2602	13.987
1.62	0.2604	14.0781
1.64	0.2607	14.1991
1.66	0.261	14.3355
1.68	0.2612	14.442
1.7	0.2614	14.5202
1.72	0.2617	14.6404
1.74	0.262	14.7864
1.76	0.2623	14.9066
1.78	0.2625	14.9929
1.8	0.2627	15.0873
1.82	0.263	15.2188
1.84	0.2633	15.3503
1.86	0.2635	15.4673
1.88	0.2637	15.5714
1.9	0.264	15.6875
1.92	0.2642	15.8013
1.94	0.2645	15.9045
1.96	0.2647	16.0223
1.98	0.265	16.1546
2.	0.2653	16.2732
2.02	0.2655	16.3668
2.04	0.2657	16.4692
2.06	0.266	16.5878
2.08	0.2662	16.7096
2.1	0.2665	16.8258
2.12	0.2667	16.9371
2.14	0.267	17.0323
2.16	0.2672	17.1404
2.18	0.2675	17.2679
2.2	0.2678	17.3865
2.22	0.2679	17.472
2.24	0.2682	17.5712
2.26	0.2685	17.7027
2.28	0.2688	17.8326
2.3	0.269	17.9367
2.32	0.2692	18.0206
2.34	0.2694	18.1367
2.36	0.2697	18.2771
2.38	0.27	18.3925
2.4	0.2703	18.5062
2.42	0.2705	18.607
2.44	0.2707	18.7079
2.46	0.271	18.8249
2.48	0.2713	18.9547
2.5	0.2715	19.0733
2.52	0.2717	19.1629
2.54	0.2719	19.2686
2.56	0.2722	19.3928
2.58	0.2725	19.5154
2.6	0.2727	19.6154
2.62	0.2729	19.7042
2.64	0.2732	19.8171
2.66	0.2735	19.9454
2.68	0.2737	20.0712
2.7	0.274	20.1858
2.72	0.2742	20.2907
2.74	0.2745	20.3996
2.76	0.2747	20.5206
2.78	0.275	20.6351
2.8	0.2753	20.7537
2.82	0.2755	20.8739
2.84	0.2758	20.9893
2.86	0.2759	21.07
2.88	0.2762	21.1724
2.9	0.2765	21.3055
2.92	0.2767	21.4233
2.94	0.277	21.5346
2.96	0.2773	21.6621
2.98	0.2775	21.7775
3.	0.2777	21.8678
3.02	0.278	21.967
3.04	0.2782	22.0961
3.06	0.2785	22.2099
3.08	0.2787	22.297
3.1	0.279	22.4115
3.12	0.2793	22.5446
3.14	0.2795	22.6632
3.16	0.2797	22.7407
3.18	0.2799	22.8302
3.2	0.2802	22.9771
3.22	0.2805	23.1255
3.24	0.2808	23.2457
3.26	0.2809	23.328
3.28	0.2812	23.4256
3.3	0.2815	23.5619
3.32	0.2817	23.6983
3.34	0.282	23.8177
3.36	0.2822	23.9217
3.38	0.2825	24.0339
3.4	0.2827	24.1637
3.42	0.283	24.2944
3.44	0.2833	24.4211
3.46	0.2835	24.5219
3.48	0.2837	24.6195
3.5	0.284	24.7397
3.52	0.2842	24.868
3.54	0.2845	24.989
3.56	0.2848	25.106
3.58	0.285	25.2197
3.6	0.2853	25.3343
3.62	0.2855	25.4392
3.64	0.2858	25.569
3.66	0.286	25.6933
3.68	0.2862	25.7796
3.7	0.2864	25.8837
3.72	0.2867	26.0168
3.74	0.287	26.1539
3.76	0.2873	26.2693
3.78	0.2875	26.3653
3.8	0.2877	26.4726
3.82	0.288	26.6041
3.84	0.2883	26.7243
3.86	0.2884	26.7993
3.88	0.2886	26.8888
3.9	0.2889	27.0236
3.92	0.2892	27.1591
3.94	0.2895	27.2962
3.96	0.2898	27.4164
3.98	0.29	27.5318
4.	0.2903	27.6488
4.02	0.2905	27.7617
4.04	0.2908	27.8795
4.06	0.291	27.9779
4.08	0.2912	28.0796
4.1	0.2915	28.2014
4.12	0.2917	28.3264
4.14	0.292	28.4547
4.16	0.2923	28.5838
4.18	0.2925	28.6935
4.2	0.2927	28.7935
4.22	0.293	28.9177
4.24	0.2933	29.0589
4.26	0.2935	29.1791
4.28	0.2937	29.2872
4.3	0.294	29.4042
4.32	0.2942	29.5308
4.34	0.2945	29.6583
4.36	0.2947	29.7543
4.38	0.2949	29.8503
4.4	0.2952	29.9858
4.42	0.2955	30.1246
4.44	0.2958	30.2553
4.46	0.296	30.3698
4.48	0.2962	30.4739
4.5	0.2965	30.5909
4.52	0.2968	30.7208
4.54	0.297	30.8523
4.56	0.2972	30.9474
4.58	0.2975	31.0499
4.6	0.2977	31.1806
4.62	0.298	31.2984
4.64	0.2982	31.3855
4.66	0.2984	31.4904
4.68	0.2987	31.6364
4.7	0.299	31.7711
4.72	0.2992	31.8607
4.74	0.2994	31.9623
4.76	0.2997	32.0978
4.78	0.3	32.2358
4.8	0.3002	32.3584
4.82	0.3005	32.4657
4.84	0.3007	32.5811
4.86	0.301	32.7021
4.88	0.3012	32.8247
4.9	0.3015	32.9336
4.92	0.3017	3.6053
