Zeit	Weg	Kraft
s	mm	N
0.02	0.2412	5.4599
0.04	0.2415	5.585
0.06	0.2418	5.7189
0.08	0.2421	5.8246
0.1	0.2423	5.919
0.12	0.2426	6.0343
0.14	0.2429	6.1513
0.16	0.2431	6.2489
0.18	0.2434	6.3602
0.2	0.2436	6.4845
0.22	0.2439	6.5869
0.24	0.2441	6.691
0.26	0.2444	6.8225
0.28	0.2447	6.9507
0.3	0.2449	7.0435
0.32	0.2451	7.1347
0.34	0.2454	7.2686
0.36	0.2457	7.3952
0.38	0.2459	7.4896
0.4	0.2461	7.5945
0.42	0.2464	7.7252
0.44	0.2467	7.8293
0.46	0.2469	7.9269
0.48	0.2471	8.0406
0.5	0.2474	8.177
0.52	0.2477	8.2923
0.54	0.2479	8.3867
0.56	0.2482	8.4996
0.58	0.2484	8.6069
0.6	0.2486	8.7134
0.62	0.2488	8.8135
0.64	0.2491	8.9175
0.66	0.2494	9.0506
0.68	0.2497	9.1805
0.7	0.2499	9.2943
0.72	0.2502	9.4032
0.74	0.2504	9.5105
0.76	0.2507	9.621
0.78	0.2509	9.7299
0.8	0.2512	9.8436
0.82	0.2514	9.9493
0.84	0.2516	10.055
0.86	0.2519	10.1671
0.88	0.2521	10.2696
0.9	0.2524	10.3938
0.92	0.2527	10.5229
0.94	0.2529	10.6237
0.96	0.2531	10.7222
0.98	0.2533	10.8198
1.	0.2536	10.9497
1.02	0.2539	11.086
1.04	0.2542	11.1868
1.06	0.2544	11.2836
1.08	0.2546	11.3934
1.1	0.2549	11.5168
1.12	0.2551	11.6321
1.14	0.2554	11.733
1.16	0.2556	11.8419
1.18	0.2559	11.9669
1.2	0.2562	12.096
1.22	0.2564	12.1952
1.24	0.2566	12.2928
1.26	0.2569	12.4252
1.28	0.2572	12.5639
1.3	0.2574	12.6744
1.32	0.2576	12.7664
1.34	0.2579	12.8737
1.36	0.2582	13.002
1.38	0.2584	13.1036
1.4	0.2586	13.2028
1.42	0.2589	13.3359
1.44	0.2592	13.4723
1.46	0.2595	13.586
1.48	0.2597	13.6812
1.5	0.2599	13.7804
1.52	0.2601	13.891
1.54	0.2604	14.0015
1.56	0.2607	14.1338
1.58	0.2609	14.2403
1.6	0.2611	14.3419
1.62	0.2614	14.4758
1.64	0.2617	14.6049
1.66	0.2619	14.7074
1.68	0.2621	14.8001
1.7	0.2624	14.9131
1.72	0.2626	15.0236
1.74	0.2629	15.1301
1.76	0.2631	15.2446
1.78	0.2634	15.356
1.8	0.2636	15.4649
1.82	0.2639	15.5722
1.84	0.2641	15.6867
1.86	0.2644	15.7997
1.88	0.2646	15.9061
1.9	0.2649	16.0231
1.92	0.2651	16.1401
1.94	0.2654	16.253
1.96	0.2656	16.3684
1.98	0.2659	16.4991
2.	0.2662	16.6346
2.02	0.2664	16.7306
2.04	0.2666	16.821
2.06	0.2669	16.942
2.08	0.2671	17.0509
2.1	0.2674	17.1671
2.12	0.2676	17.28
2.14	0.2679	17.3913
2.16	0.2682	17.5067
2.18	0.2684	17.614
2.2	0.2686	17.7197
2.22	0.2689	17.8269
2.24	0.2691	17.9423
2.26	0.2694	18.0883
2.28	0.2697	18.2021
2.3	0.2699	18.2884
2.32	0.2701	18.386
2.34	0.2704	18.5078
2.36	0.2707	18.6337
2.38	0.2709	18.745
2.4	0.2711	18.8571
2.42	0.2714	18.9733
2.44	0.2716	19.0749
2.46	0.2719	19.1871
2.48	0.2721	19.296
2.5	0.2724	19.4049
2.52	0.2726	19.5324
2.54	0.2729	19.638
2.56	0.2731	19.7373
2.58	0.2734	19.8639
2.6	0.2737	19.9906
2.62	0.2739	20.0882
2.64	0.2741	20.1923
2.66	0.2744	20.3391
2.68	0.2747	20.4649
2.7	0.2749	20.565
2.72	0.2751	20.6585
2.74	0.2754	20.761
2.76	0.2756	20.8893
2.78	0.2759	21.0062
2.8	0.2761	21.1047
2.82	0.2764	21.2329
2.84	0.2767	21.366
2.86	0.2769	21.4749
2.88	0.2771	21.5693
2.9	0.2774	21.6742
2.92	0.2776	21.7879
2.94	0.2779	21.9186
2.96	0.2782	22.038
2.98	0.2784	22.1381
3.	0.2787	22.2413
3.02	0.2789	22.3575
3.04	0.2791	22.4712
3.06	0.2794	22.5753
3.08	0.2796	22.6826
3.1	0.2799	22.7931
3.12	0.2801	22.923
3.14	0.2804	23.0537
3.16	0.2807	23.1707
3.18	0.2809	23.2812
3.2	0.2811	23.3885
3.22	0.2814	23.4982
3.24	0.2816	23.6192
3.26	0.2819	23.7402
3.28	0.2821	23.8451
3.3	0.2824	23.9693
3.32	0.2827	24.1057
3.34	0.2829	24.2057
3.36	0.2831	24.3081
3.38	0.2834	24.4421
3.4	0.2837	24.5808
3.42	0.2839	24.6905
3.44	0.2841	24.7881
3.46	0.2844	24.9132
3.48	0.2847	25.0414
3.5	0.2849	25.1479
3.52	0.2851	25.2528
3.54	0.2854	25.3827
3.56	0.2857	25.5021
3.58	0.2859	25.5989
3.6	0.2861	25.7062
3.62	0.2864	25.8466
3.64	0.2867	25.9885
3.66	0.2869	26.0983
3.68	0.2871	26.1918
3.7	0.2874	26.2983
3.72	0.2877	26.4282
3.74	0.2879	26.546
3.76	0.2881	26.6323
3.78	0.2883	26.7356
3.8	0.2886	26.8735
3.82	0.2889	27.0195
3.84	0.2892	27.1438
3.86	0.2895	27.2753
3.88	0.2897	27.3785
3.9	0.2899	27.4777
3.92	0.2901	27.5963
3.94	0.2904	27.7286
3.96	0.2907	27.844
3.98	0.2909	27.9416
4.	0.2911	28.0618
4.02	0.2914	28.1877
4.04	0.2916	28.2974
4.06	0.2919	28.4135
4.08	0.2922	28.5394
4.1	0.2924	28.6475
4.12	0.2926	28.7596
4.14	0.2929	28.8919
4.16	0.2932	29.0258
4.18	0.2934	29.1291
4.2	0.2936	29.2404
4.22	0.2939	29.3824
4.24	0.2942	29.497
4.26	0.2944	29.593
4.28	0.2946	29.714
4.3	0.2949	29.8551
4.32	0.2951	29.9584
4.34	0.2953	30.052
4.36	0.2956	30.1899
4.38	0.2959	30.3392
4.4	0.2962	30.461
4.42	0.2964	30.5594
4.44	0.2966	30.6715
4.46	0.2969	30.8143
4.48	0.2972	30.9281
4.5	0.2974	31.0201
4.52	0.2976	31.1209
4.54	0.2979	31.2516
4.56	0.2982	31.3855
4.58	0.2984	31.4936
4.6	0.2986	31.6114
4.62	0.2989	31.7461
4.64	0.2992	31.8647
4.66	0.2994	31.9704
4.68	0.2996	32.0873
4.7	0.2999	32.2285
4.72	0.3002	32.3503
4.74	0.3004	32.4479
4.76	0.3007	2.7719
