Zeit	Weg	Kraft
s	mm	N
0.02	0.2415	5.464
0.04	0.2418	5.6124
0.06	0.2421	5.7495
0.08	0.2424	5.8665
0.1	0.2427	5.9778
0.12	0.2429	6.0876
0.14	0.2432	6.2045
0.16	0.2435	6.3199
0.18	0.2437	6.4175
0.2	0.2439	6.5208
0.22	0.2442	6.6369
0.24	0.2444	6.7612
0.26	0.2447	6.883
0.28	0.245	7.004
0.3	0.2452	7.1258
0.32	0.2455	7.2339
0.34	0.2457	7.3347
0.36	0.246	7.4404
0.38	0.2462	7.5526
0.4	0.2465	7.6711
0.42	0.2467	7.7776
0.44	0.2469	7.8728
0.46	0.2472	7.9777
0.48	0.2474	8.0939
0.5	0.2477	8.2197
0.52	0.248	8.3383
0.54	0.2482	8.4472
0.56	0.2484	8.5553
0.58	0.2487	8.6707
0.6	0.249	8.7901
0.62	0.2492	8.8982
0.64	0.2494	9.003
0.66	0.2497	9.1136
0.68	0.2499	9.2281
0.7	0.2502	9.3451
0.72	0.2505	9.4613
0.74	0.2507	9.5702
0.76	0.2509	9.675
0.78	0.2512	9.7767
0.8	0.2514	9.8872
0.82	0.2517	10.0082
0.84	0.2519	10.1195
0.86	0.2522	10.2357
0.88	0.2525	10.3446
0.9	0.2527	10.4559
0.92	0.253	10.5689
0.94	0.2532	10.6794
0.96	0.2535	10.7859
0.98	0.2537	10.8867
1.	0.2539	10.9973
1.02	0.2542	11.1134
1.04	0.2544	11.236
1.06	0.2547	11.3579
1.08	0.255	11.4748
1.1	0.2552	11.587
1.12	0.2555	11.7007
1.14	0.2557	11.8016
1.16	0.2559	11.9048
1.18	0.2562	12.0137
1.2	0.2564	12.1331
1.22	0.2566	12.2388
1.24	0.2569	12.3396
1.26	0.2571	12.4534
1.28	0.2574	12.5744
1.3	0.2577	12.7115
1.32	0.258	12.8398
1.34	0.2582	12.9511
1.36	0.2584	13.056
1.38	0.2587	13.1641
1.4	0.259	13.2891
1.42	0.2592	13.4166
1.44	0.2595	13.5384
1.46	0.2598	13.6546
1.48	0.26	13.7635
1.5	0.2602	13.8708
1.52	0.2605	13.9749
1.54	0.2607	14.0765
1.56	0.2609	14.1846
1.58	0.2612	14.3056
1.6	0.2615	14.4363
1.62	0.2618	14.5646
1.64	0.262	14.6791
1.66	0.2623	14.7864
1.68	0.2625	14.8929
1.7	0.2627	15.001
1.72	0.2629	15.0946
1.74	0.2631	15.1914
1.76	0.2634	15.3068
1.78	0.2637	15.4197
1.8	0.2639	15.5326
1.82	0.2642	15.6472
1.84	0.2644	15.7666
1.86	0.2647	15.8892
1.88	0.2649	16.011
1.9	0.2652	16.1264
1.92	0.2654	16.2409
1.94	0.2657	16.3563
1.96	0.266	16.4797
1.98	0.2662	16.5975
2.	0.2665	16.7177
2.02	0.2667	16.8323
2.04	0.267	16.9315
2.06	0.2672	17.0339
2.08	0.2675	17.1509
2.1	0.2678	17.2808
2.12	0.268	17.4066
2.14	0.2683	17.522
2.16	0.2685	17.6317
2.18	0.2688	17.735
2.2	0.269	17.8455
2.22	0.2693	17.9609
2.24	0.2695	18.069
2.26	0.2697	18.1787
2.28	0.27	18.2787
2.3	0.2702	18.3852
2.32	0.2705	18.4989
2.34	0.2707	18.6167
2.36	0.271	18.7281
2.38	0.2712	18.8337
2.4	0.2715	18.9475
2.42	0.2717	19.062
2.44	0.272	19.1782
2.46	0.2722	19.2871
2.48	0.2725	19.392
2.5	0.2727	19.5106
2.52	0.273	19.6275
2.54	0.2732	19.7332
2.56	0.2734	19.8373
2.58	0.2737	19.943
2.6	0.2739	20.0608
2.62	0.2742	20.1858
2.64	0.2745	20.3044
2.66	0.2747	20.4149
2.68	0.2749	20.5222
2.7	0.2752	20.6359
2.72	0.2755	20.7537
2.74	0.2757	20.8626
2.76	0.2759	20.974
2.78	0.2762	21.0893
2.8	0.2765	21.2128
2.82	0.2767	21.3273
2.84	0.277	21.4362
2.86	0.2772	21.5451
2.88	0.2775	21.6565
2.9	0.2777	21.7662
2.92	0.278	21.8839
2.94	0.2782	21.9985
2.96	0.2785	22.1163
2.98	0.2788	22.2389
3.	0.279	22.3518
3.02	0.2793	22.4543
3.04	0.2795	22.5689
3.06	0.2798	22.6826
3.08	0.28	22.7915
3.1	0.2803	22.8996
3.12	0.2805	23.0053
3.14	0.2807	23.1126
3.16	0.281	23.2296
3.18	0.2812	23.3457
3.2	0.2815	23.4562
3.22	0.2817	23.566
3.24	0.2819	23.6757
3.26	0.2822	23.7862
3.28	0.2824	23.8943
3.3	0.2827	24.008
3.32	0.2829	24.1194
3.34	0.2831	24.2259
3.36	0.2834	24.3356
3.38	0.2836	24.4614
3.4	0.2839	24.5873
3.42	0.2842	24.701
3.44	0.2844	24.822
3.46	0.2847	24.939
3.48	0.2849	25.0495
3.5	0.2852	25.1721
3.52	0.2855	25.2964
3.54	0.2857	25.4246
3.56	0.286	25.5489
3.58	0.2862	25.6602
3.6	0.2865	25.7764
3.62	0.2867	25.9014
3.64	0.287	26.0297
3.66	0.2873	26.145
3.68	0.2875	26.2483
3.7	0.2877	26.3548
3.72	0.288	26.4669
3.74	0.2882	26.5734
3.76	0.2884	26.6815
3.78	0.2886	26.7848
3.8	0.2889	26.9195
3.82	0.2892	27.0494
3.84	0.2895	27.1696
3.86	0.2897	27.2753
3.88	0.2899	27.3777
3.9	0.2902	27.4907
3.92	0.2904	27.5979
3.94	0.2907	27.7254
3.96	0.291	27.8747
3.98	0.2912	27.9844
4.	0.2914	28.0836
4.02	0.2917	28.1965
4.04	0.2919	28.3183
4.06	0.2922	28.4434
4.08	0.2924	28.5684
4.1	0.2927	28.6854
4.12	0.2929	28.8008
4.14	0.2932	28.946
4.16	0.2935	29.0944
4.18	0.2938	29.2057
4.2	0.294	29.3058
4.22	0.2942	29.4171
4.24	0.2945	29.5357
4.26	0.2947	29.6478
4.28	0.295	29.7704
4.3	0.2952	29.9044
4.32	0.2955	30.0229
4.34	0.2957	30.1343
4.36	0.296	30.2512
4.38	0.2962	30.369
4.4	0.2965	30.4957
4.42	0.2967	30.607
4.44	0.297	30.7167
4.46	0.2972	30.8361
4.48	0.2975	30.9563
4.5	0.2977	31.0757
4.52	0.298	31.1903
4.54	0.2982	31.3
4.56	0.2985	31.4153
4.58	0.2987	31.5251
4.6	0.299	31.6493
4.62	0.2993	31.7808
4.64	0.2995	31.9066
4.66	0.2997	32.018
4.68	0.3	32.1172
