Zeit	Weg	Kraft
s	mm	N
0.02	0.2448	5.4688
0.04	0.2451	5.6035
0.06	0.2454	5.7342
0.08	0.2457	5.8455
0.1	0.2459	5.9343
0.12	0.2461	6.0238
0.14	0.2464	6.1529
0.16	0.2467	6.282
0.18	0.2469	6.3715
0.2	0.2472	6.4724
0.22	0.2475	6.6079
0.24	0.2477	6.7233
0.26	0.2479	6.8128
0.28	0.2482	6.9185
0.3	0.2485	7.0564
0.32	0.2488	7.1774
0.34	0.249	7.2734
0.36	0.2492	7.3823
0.38	0.2495	7.5001
0.4	0.2497	7.6106
0.42	0.25	7.7147
0.44	0.2502	7.8285
0.46	0.2505	7.9543
0.48	0.2507	8.0543
0.5	0.251	8.1487
0.52	0.2512	8.2617
0.54	0.2515	8.3706
0.56	0.2517	8.4819
0.58	0.252	8.6021
0.6	0.2522	8.7078
0.62	0.2524	8.8006
0.64	0.2527	8.9167
0.66	0.253	9.0458
0.68	0.2532	9.1418
0.7	0.2534	9.2338
0.72	0.2537	9.3532
0.74	0.2539	9.4556
0.76	0.2542	9.5524
0.78	0.2545	9.6799
0.8	0.2548	9.8194
0.82	0.255	9.9332
0.84	0.2552	10.0179
0.86	0.2555	10.1228
0.88	0.2557	10.2438
0.9	0.256	10.3656
0.92	0.2562	10.468
0.94	0.2565	10.5786
0.96	0.2567	10.698
0.98	0.257	10.794
1.	0.2572	10.8843
1.02	0.2575	11.0118
1.04	0.2578	11.1425
1.06	0.258	11.2554
1.08	0.2582	11.3522
1.1	0.2585	11.4603
1.12	0.2588	11.5902
1.14	0.259	11.7056
1.16	0.2592	11.8056
1.18	0.2595	11.9137
1.2	0.2597	12.0169
1.22	0.26	12.1218
1.24	0.2602	12.2323
1.26	0.2605	12.3558
1.28	0.2607	12.4687
1.3	0.2609	12.5591
1.32	0.2612	12.6704
1.34	0.2615	12.814
1.36	0.2618	12.9415
1.38	0.262	13.0383
1.4	0.2622	13.1367
1.42	0.2625	13.2448
1.44	0.2627	13.3497
1.46	0.263	13.4707
1.48	0.2633	13.5957
1.5	0.2635	13.6973
1.52	0.2637	13.7877
1.54	0.264	13.9095
1.56	0.2643	14.0507
1.58	0.2645	14.1515
1.6	0.2647	14.2379
1.62	0.265	14.3572
1.64	0.2653	14.5
1.66	0.2655	14.613
1.68	0.2657	14.7001
1.7	0.2659	14.7993
1.72	0.2662	14.9228
1.74	0.2665	15.0373
1.76	0.2667	15.1365
1.78	0.2669	15.2406
1.8	0.2672	15.3697
1.82	0.2675	15.4979
1.84	0.2677	15.5939
1.86	0.268	15.6924
1.88	0.2682	15.8029
1.9	0.2685	15.9239
1.92	0.2687	16.0328
1.94	0.269	16.1296
1.96	0.2692	16.253
1.98	0.2695	16.3732
2.	0.2697	16.4668
2.02	0.2699	16.5644
2.04	0.2702	16.6895
2.06	0.2705	16.821
2.08	0.2707	16.9194
2.1	0.2709	17.0162
2.12	0.2712	17.1453
2.14	0.2715	17.2832
2.16	0.2718	17.3937
2.18	0.272	17.4776
2.2	0.2722	17.5793
2.22	0.2725	17.7067
2.24	0.2727	17.8269
2.26	0.273	17.9213
2.28	0.2732	18.0294
2.3	0.2735	18.1634
2.32	0.2737	18.2674
2.34	0.274	18.365
2.36	0.2742	18.4933
2.38	0.2745	18.6175
2.4	0.2747	18.7208
2.42	0.2749	18.8184
2.44	0.2752	18.9338
2.46	0.2755	19.0564
2.48	0.2757	19.1516
2.5	0.2759	19.2678
2.52	0.2762	19.4041
2.54	0.2765	19.513
2.56	0.2767	19.6025
2.58	0.2769	19.7179
2.6	0.2772	19.851
2.62	0.2775	19.972
2.64	0.2777	20.0753
2.66	0.278	20.1898
2.68	0.2782	20.2891
2.7	0.2784	20.3818
2.72	0.2787	20.5004
2.74	0.279	20.6295
2.76	0.2792	20.7319
2.78	0.2795	20.8344
2.8	0.2797	20.9554
2.82	0.28	21.0756
2.84	0.2802	21.1845
2.86	0.2805	21.2862
2.88	0.2807	21.4031
2.9	0.281	21.5459
2.92	0.2813	21.6637
2.94	0.2815	21.7597
2.96	0.2817	21.8718
2.98	0.2819	21.9791
3.	0.2822	22.1155
3.02	0.2825	22.2316
3.04	0.2827	22.3147
3.06	0.2829	22.4228
3.08	0.2832	22.5608
3.1	0.2835	22.6971
3.12	0.2837	22.8004
3.14	0.2839	22.9012
3.16	0.2842	23.0351
3.18	0.2845	23.1561
3.2	0.2847	23.2538
3.22	0.285	23.3675
3.24	0.2853	23.4958
3.26	0.2855	23.616
3.28	0.2857	23.7128
3.3	0.2859	23.8201
3.32	0.2862	23.9621
3.34	0.2865	24.0847
3.36	0.2867	24.1831
3.38	0.287	24.2944
3.4	0.2872	24.4203
3.42	0.2875	24.5243
3.44	0.2877	24.6123
3.46	0.2879	24.722
3.48	0.2882	24.8519
3.5	0.2885	24.9809
3.52	0.2887	25.0931
3.54	0.2889	25.2028
3.56	0.2892	25.3327
3.58	0.2895	25.473
3.6	0.2898	25.59
3.62	0.29	25.6852
3.64	0.2903	25.8094
3.66	0.2905	25.9442
3.68	0.2907	26.0361
3.7	0.291	26.1321
3.72	0.2912	26.2644
3.74	0.2915	26.3935
3.76	0.2917	26.4903
3.78	0.2919	26.5895
3.8	0.2922	26.7227
3.82	0.2925	26.8574
3.84	0.2927	26.9784
3.86	0.293	27.0881
3.88	0.2932	27.2059
3.9	0.2935	27.3358
3.92	0.2937	27.4422
3.94	0.2939	27.5431
3.96	0.2942	27.6762
3.98	0.2945	27.802
4.	0.2948	27.9222
4.02	0.295	28.0287
4.04	0.2952	28.1344
4.06	0.2955	28.2595
4.08	0.2958	28.3918
4.1	0.296	28.5103
4.12	0.2962	28.5991
4.14	0.2964	28.7193
4.16	0.2968	28.8669
4.18	0.297	28.9895
4.2	0.2972	29.0783
4.22	0.2974	29.1799
4.24	0.2977	29.313
4.26	0.298	29.4437
4.28	0.2982	29.5462
4.3	0.2985	29.6607
4.32	0.2988	29.7971
4.34	0.299	29.8955
4.36	0.2992	29.9939
4.38	0.2995	30.123
4.4	0.2998	30.2658
4.42	0.3	30.3827
4.44	0.3002	30.4771
4.46	0.3005	30.5973
4.48	0.3008	9.3362
