Zeit	Weg	Kraft
s	mm	N
0.02	0.2398	5.5358
0.04	0.2402	5.6947
0.06	0.2405	5.8278
0.08	0.2407	5.9262
0.1	0.241	6.0303
0.12	0.2413	6.1456
0.14	0.2415	6.2505
0.16	0.2417	6.3522
0.18	0.242	6.4522
0.2	0.2423	6.5877
0.22	0.2426	6.712
0.24	0.2428	6.8088
0.26	0.2431	6.9072
0.28	0.2434	7.0298
0.3	0.2436	7.1436
0.32	0.2438	7.2387
0.34	0.244	7.3436
0.36	0.2443	7.4549
0.38	0.2446	7.5776
0.4	0.2449	7.7179
0.42	0.2451	7.8325
0.44	0.2453	7.9317
0.46	0.2456	8.0398
0.48	0.2458	8.1439
0.5	0.2461	8.2512
0.52	0.2463	8.3593
0.54	0.2466	8.4658
0.56	0.2468	8.5682
0.58	0.247	8.6747
0.6	0.2474	8.8167
0.62	0.2476	8.9506
0.64	0.2479	9.0482
0.66	0.2481	9.1418
0.68	0.2483	9.2531
0.7	0.2486	9.3693
0.72	0.2488	9.4693
0.74	0.2491	9.579
0.76	0.2493	9.696
0.78	0.2495	9.8017
0.8	0.2498	9.9162
0.82	0.2501	10.034
0.84	0.2503	10.1486
0.86	0.2506	10.2599
0.88	0.2508	10.3696
0.9	0.2511	10.4882
0.92	0.2514	10.5995
0.94	0.2516	10.7036
0.96	0.2518	10.802
0.98	0.2521	10.9109
1.	0.2523	11.0239
1.02	0.2526	11.1328
1.04	0.2528	11.2401
1.06	0.2531	11.3562
1.08	0.2533	11.4789
1.1	0.2536	11.5983
1.12	0.2538	11.7023
1.14	0.254	11.7959
1.16	0.2543	11.908
1.18	0.2545	12.0202
1.2	0.2548	12.1323
1.22	0.255	12.2485
1.24	0.2553	12.3663
1.26	0.2556	12.4986
1.28	0.2558	12.6155
1.3	0.2561	12.7269
1.32	0.2563	12.8358
1.34	0.2566	12.9471
1.36	0.2568	13.0512
1.38	0.257	13.1552
1.4	0.2573	13.2859
1.42	0.2576	13.4118
1.44	0.2578	13.5183
1.46	0.2581	13.6231
1.48	0.2583	13.7345
1.5	0.2586	13.8522
1.52	0.2588	13.9636
1.54	0.2591	14.0701
1.56	0.2593	14.183
1.58	0.2596	14.2895
1.6	0.2598	14.4048
1.62	0.2601	14.517
1.64	0.2603	14.6267
1.66	0.2606	14.7445
1.68	0.2608	14.8558
1.7	0.2611	14.9695
1.72	0.2613	15.0801
1.74	0.2616	15.1914
1.76	0.2618	15.318
1.78	0.2621	15.4358
1.8	0.2623	15.5455
1.82	0.2626	15.6464
1.84	0.2628	15.7593
1.86	0.2631	15.8771
1.88	0.2633	15.986
1.9	0.2636	16.0957
1.92	0.2638	16.2079
1.94	0.2641	16.32
1.96	0.2643	16.4426
1.98	0.2646	16.5628
2.	0.2648	16.679
2.02	0.2651	16.7839
2.04	0.2653	16.8992
2.06	0.2656	17.0194
2.08	0.2658	17.1364
2.1	0.2661	17.255
2.12	0.2663	17.3736
2.14	0.2666	17.4865
2.16	0.2668	17.5882
2.18	0.2671	17.6987
2.2	0.2673	17.8181
2.22	0.2676	17.9302
2.24	0.2678	18.052
2.26	0.2681	18.1755
2.28	0.2684	18.286
2.3	0.2686	18.3892
2.32	0.2688	18.486
2.34	0.269	18.5845
2.36	0.2693	18.6918
2.38	0.2695	18.8087
2.4	0.2698	18.9265
2.42	0.2701	19.0322
2.44	0.2703	19.1395
2.46	0.2705	19.25
2.48	0.2708	19.3597
2.5	0.2711	19.4735
2.52	0.2713	19.5864
2.54	0.2716	19.7002
2.56	0.2718	19.8244
2.58	0.2721	19.9397
2.6	0.2724	20.0519
2.62	0.2726	20.1648
2.64	0.2729	20.2818
2.66	0.2731	20.3843
2.68	0.2733	20.4883
2.7	0.2736	20.6013
2.72	0.2738	20.7142
2.74	0.2741	20.8263
2.76	0.2743	20.9377
2.78	0.2746	21.0514
2.8	0.2748	21.17
2.82	0.2751	21.2837
2.84	0.2753	21.3878
2.86	0.2755	21.4895
2.88	0.2758	21.6064
2.9	0.2761	21.7299
2.92	0.2763	21.8347
2.94	0.2765	21.9469
2.96	0.2768	22.0622
2.98	0.2771	22.1816
3.	0.2773	22.3042
3.02	0.2776	22.4132
3.04	0.2778	22.5075
3.06	0.278	22.6132
3.08	0.2783	22.7229
3.1	0.2786	22.8431
3.12	0.2788	22.9569
3.14	0.2791	23.0626
3.16	0.2793	23.1771
3.18	0.2796	23.2884
3.2	0.2798	23.3998
3.22	0.2801	23.5184
3.24	0.2803	23.6337
3.26	0.2806	23.7434
3.28	0.2808	23.8515
3.3	0.281	23.9669
3.32	0.2813	24.079
3.34	0.2815	24.1952
3.36	0.2818	24.3194
3.38	0.2821	24.4421
3.4	0.2823	24.555
3.42	0.2825	24.6663
3.44	0.2828	24.7777
3.46	0.283	24.8882
3.48	0.2833	25.0205
3.5	0.2836	25.1455
3.52	0.2838	25.248
3.54	0.2841	25.3593
3.56	0.2843	25.4819
3.58	0.2846	25.5868
3.6	0.2848	25.7094
3.62	0.2851	25.8457
3.64	0.2853	25.9498
3.66	0.2855	26.0426
3.68	0.2858	26.1628
3.7	0.2861	26.3257
3.72	0.2864	26.4572
3.74	0.2866	26.5549
3.76	0.2868	26.6509
3.78	0.2871	26.7622
3.8	0.2873	26.8896
3.82	0.2876	27.0131
3.84	0.2879	27.1284
3.86	0.2881	27.2373
3.88	0.2883	27.3317
3.9	0.2885	27.4406
3.92	0.2888	27.5592
3.94	0.289	27.6746
3.96	0.2892	27.7746
3.98	0.2896	27.9158
4.	0.2899	28.0788
4.02	0.2901	28.1925
4.04	0.2903	28.278
4.06	0.2905	28.3805
4.08	0.2908	28.5023
4.1	0.2911	28.6249
4.12	0.2913	28.7346
4.14	0.2915	28.8467
4.16	0.2918	28.9629
4.18	0.2921	29.0791
4.2	0.2923	29.1977
4.22	0.2926	29.3348
4.24	0.2929	29.4671
4.26	0.2931	29.5793
4.28	0.2933	29.6946
4.3	0.2936	29.8148
4.32	0.2938	29.9261
4.34	0.294	30.0391
4.36	0.2943	30.1641
4.38	0.2946	30.3126
4.4	0.2949	30.4424
4.42	0.2951	30.5441
4.44	0.2953	30.649
4.46	0.2956	30.7659
4.48	0.2958	30.8861
4.5	0.2961	31.0096
4.52	0.2963	31.1241
4.54	0.2966	31.2427
4.56	0.2968	31.3589
4.58	0.297	31.4702
4.6	0.2973	31.5815
4.62	0.2976	31.7154
4.64	0.2979	31.8518
4.66	0.2981	31.9655
4.68	0.2984	32.0825
4.7	0.2986	32.1987
4.72	0.2988	32.3052
4.74	0.2991	32.4221
4.76	0.2994	32.5552
4.78	0.2996	32.6722
4.8	0.2998	32.7787
4.82	0.3	32.8795
4.84	0.3003	32.9941
4.86	0.3005	33.1095
4.88	0.3008	33.224
4.9	0.301	33.3442
4.92	0.3013	33.4563
4.94	0.3016	22.3244
4.96	0.3019	0.0694
