Zeit	Weg	Kraft
s	mm	N
0.02	0.2414	5.4067
0.04	0.2417	5.5511
0.06	0.242	5.6955
0.08	0.2423	5.81
0.1	0.2425	5.9028
0.12	0.2428	6.002
0.14	0.2431	6.1222
0.16	0.2433	6.2416
0.18	0.2436	6.3473
0.2	0.2438	6.4433
0.22	0.244	6.5458
0.24	0.2443	6.6603
0.26	0.2445	6.7652
0.28	0.2448	6.8822
0.3	0.2451	7.0024
0.32	0.2453	7.1121
0.34	0.2455	7.2129
0.36	0.2458	7.3138
0.38	0.246	7.4316
0.4	0.2463	7.5461
0.42	0.2465	7.6437
0.44	0.2468	7.7615
0.46	0.2471	7.8873
0.48	0.2473	7.9922
0.5	0.2476	8.1052
0.52	0.2479	8.2415
0.54	0.2481	8.3577
0.56	0.2483	8.4424
0.58	0.2485	8.5303
0.6	0.2488	8.6578
0.62	0.2491	8.7973
0.64	0.2493	8.9087
0.66	0.2496	9.0038
0.68	0.2498	9.1144
0.7	0.2501	9.2249
0.72	0.2503	9.3257
0.74	0.2505	9.4338
0.76	0.2508	9.5419
0.78	0.2511	9.6613
0.8	0.2513	9.7791
0.82	0.2516	9.8872
0.84	0.2518	10.0018
0.86	0.2521	10.0986
0.88	0.2523	10.2091
0.9	0.2526	10.3382
0.92	0.2528	10.4455
0.94	0.2531	10.5455
0.96	0.2533	10.6568
0.98	0.2536	10.7681
1.	0.2538	10.8827
1.02	0.254	10.9908
1.04	0.2543	11.0957
1.06	0.2546	11.2352
1.08	0.2549	11.3627
1.1	0.2551	11.4668
1.12	0.2553	11.5789
1.14	0.2556	11.6999
1.16	0.2559	11.8112
1.18	0.2561	11.9072
1.2	0.2563	12.0153
1.22	0.2565	12.1291
1.24	0.2568	12.2364
1.26	0.257	12.3437
1.28	0.2573	12.4744
1.3	0.2576	12.6171
1.32	0.2578	12.718
1.34	0.258	12.8091
1.36	0.2583	12.9229
1.38	0.2586	13.0512
1.4	0.2588	13.1641
1.42	0.2591	13.2779
1.44	0.2593	13.4021
1.46	0.2596	13.5191
1.48	0.2598	13.6296
1.5	0.2601	13.7498
1.52	0.2603	13.8579
1.54	0.2606	13.9628
1.56	0.2608	14.0781
1.58	0.2611	14.1951
1.6	0.2613	14.3064
1.62	0.2616	14.4266
1.64	0.2619	14.5517
1.66	0.2621	14.6533
1.68	0.2623	14.7517
1.7	0.2625	14.851
1.72	0.2628	14.9631
1.74	0.263	15.0785
1.76	0.2633	15.1857
1.78	0.2635	15.2971
1.8	0.2638	15.4076
1.82	0.264	15.5197
1.84	0.2643	15.6359
1.86	0.2645	15.7521
1.88	0.2648	15.8666
1.9	0.265	15.9828
1.92	0.2653	16.0877
1.94	0.2656	16.2232
1.96	0.2659	16.3547
1.98	0.2661	16.4563
2.	0.2663	16.5604
2.02	0.2666	16.6782
2.04	0.2668	16.7943
2.06	0.2671	16.9073
2.08	0.2673	17.0162
2.1	0.2676	17.1324
2.12	0.2678	17.2469
2.14	0.2681	17.3542
2.16	0.2683	17.4575
2.18	0.2686	17.5632
2.2	0.2688	17.6809
2.22	0.2691	17.8003
2.24	0.2693	17.9108
2.26	0.2696	18.0149
2.28	0.2698	18.1303
2.3	0.27	18.2368
2.32	0.2703	18.3384
2.34	0.2705	18.4522
2.36	0.2708	18.5667
2.38	0.2711	18.7039
2.4	0.2713	18.8273
2.42	0.2716	18.9273
2.44	0.2718	19.033
2.46	0.2721	19.1532
2.48	0.2723	19.2661
2.5	0.2726	19.3726
2.52	0.2728	19.4864
2.54	0.2731	19.5937
2.56	0.2733	19.6961
2.58	0.2736	19.8179
2.6	0.2738	19.9381
2.62	0.274	20.0374
2.64	0.2743	20.1455
2.66	0.2746	20.2834
2.68	0.2749	20.4173
2.7	0.2751	20.5222
2.72	0.2753	20.6255
2.74	0.2756	20.7352
2.76	0.2758	20.8433
2.78	0.276	20.949
2.8	0.2763	21.0732
2.82	0.2766	21.22
2.84	0.2769	21.3289
2.86	0.277	21.4072
2.88	0.2773	21.5161
2.9	0.2776	21.6556
2.92	0.2778	21.7702
2.94	0.2781	21.8654
2.96	0.2783	21.9654
2.98	0.2785	22.0735
3.	0.2788	22.197
3.02	0.2791	22.3341
3.04	0.2794	22.4486
3.06	0.2796	22.5527
3.08	0.2799	22.6689
3.1	0.2801	22.7786
3.12	0.2803	22.8811
3.14	0.2805	22.9851
3.16	0.2808	23.0924
3.18	0.281	23.2247
3.2	0.2813	23.3546
3.22	0.2815	23.453
3.24	0.2818	23.5635
3.26	0.2821	23.7039
3.28	0.2823	23.8265
3.3	0.2825	23.9169
3.32	0.2828	24.0387
3.34	0.2831	24.1839
3.36	0.2834	24.2912
3.38	0.2836	24.3864
3.4	0.2838	24.4977
3.42	0.2841	24.6332
3.44	0.2844	24.7583
3.46	0.2846	24.8551
3.48	0.2848	24.96
3.5	0.2851	25.0753
3.52	0.2853	25.1907
3.54	0.2855	25.3052
3.56	0.2858	25.4295
3.58	0.2861	25.5666
3.6	0.2863	25.6812
3.62	0.2866	25.7861
3.64	0.2868	25.9095
3.66	0.2871	26.0248
3.68	0.2873	26.1346
3.7	0.2875	26.237
3.72	0.2878	26.3435
3.74	0.288	26.4564
3.76	0.2883	26.5847
3.78	0.2886	26.7138
3.8	0.2888	26.8187
3.82	0.2891	26.9413
3.84	0.2894	27.0929
3.86	0.2896	27.2148
3.88	0.2899	27.318
3.9	0.2901	27.4261
3.92	0.2903	27.5294
3.94	0.2905	27.6391
3.96	0.2908	27.7593
3.98	0.2911	27.8876
4.	0.2913	27.9981
4.02	0.2915	28.1151
4.04	0.2919	28.2586
4.06	0.2921	28.3853
4.08	0.2923	28.4918
4.1	0.2926	28.6039
4.12	0.2928	28.7128
4.14	0.293	28.8274
4.16	0.2933	28.9758
4.18	0.2936	29.1243
4.2	0.2939	29.2316
4.22	0.2941	29.33
4.24	0.2943	29.4445
4.26	0.2946	29.5591
4.28	0.2948	29.6777
4.3	0.295	29.7874
4.32	0.2953	29.9011
4.34	0.2956	30.0286
4.36	0.2958	30.1625
4.38	0.2961	30.2787
4.4	0.2963	30.3795
4.42	0.2965	30.4933
4.44	0.2968	30.6175
4.46	0.297	30.7288
4.48	0.2973	30.8442
4.5	0.2976	30.9741
4.52	0.2978	31.0854
4.54	0.2981	31.1903
4.56	0.2983	31.3145
4.58	0.2986	31.4646
4.6	0.2989	31.5896
4.62	0.2991	31.6912
4.64	0.2993	31.7832
4.66	0.2996	31.897
4.68	0.2998	32.0204
4.7	0.3	20.7352
4.72	0.3003	-0.0113
