Zeit	Weg	Kraft
s	mm	N
0.02	0.2451	5.4172
0.04	0.2455	5.5632
0.06	0.2458	5.7148
0.08	0.246	5.8254
0.1	0.2463	5.9197
0.12	0.2466	6.0424
0.14	0.2469	6.1739
0.16	0.2471	6.2763
0.18	0.2473	6.361
0.2	0.2476	6.4861
0.22	0.2479	6.6159
0.24	0.2481	6.7289
0.26	0.2483	6.8217
0.28	0.2486	6.9273
0.3	0.2489	7.0508
0.32	0.2492	7.1798
0.34	0.2494	7.2839
0.36	0.2496	7.3759
0.38	0.2498	7.4832
0.4	0.2502	7.6203
0.42	0.2504	7.73
0.44	0.2506	7.8147
0.46	0.2508	7.9099
0.48	0.2511	8.0406
0.5	0.2514	8.1689
0.52	0.2516	8.2617
0.54	0.2518	8.356
0.56	0.2521	8.49
0.58	0.2524	8.6182
0.6	0.2526	8.711
0.62	0.2528	8.7917
0.64	0.2531	8.9038
0.66	0.2534	9.0393
0.68	0.2536	9.1474
0.7	0.2538	9.2442
0.72	0.2541	9.354
0.74	0.2544	9.4742
0.76	0.2546	9.5968
0.78	0.2549	9.7049
0.8	0.2551	9.8025
0.82	0.2553	9.9025
0.84	0.2556	10.0356
0.86	0.2559	10.1623
0.88	0.2561	10.2575
0.9	0.2563	10.3591
0.92	0.2566	10.4769
0.94	0.2568	10.5786
0.96	0.2571	10.6907
0.98	0.2574	10.8311
1.	0.2577	10.9448
1.02	0.2579	11.0319
1.04	0.2581	11.1215
1.06	0.2583	11.2457
1.08	0.2587	11.3845
1.1	0.2589	11.4885
1.12	0.2591	11.5805
1.14	0.2594	11.7007
1.16	0.2597	11.829
1.18	0.2599	11.9274
1.2	0.2601	12.0169
1.22	0.2604	12.1388
1.24	0.2607	12.263
1.26	0.2609	12.3703
1.28	0.2611	12.476
1.3	0.2614	12.5865
1.32	0.2616	12.6922
1.34	0.2619	12.8043
1.36	0.2621	12.918
1.38	0.2624	13.0245
1.4	0.2626	13.1189
1.42	0.2628	13.2165
1.44	0.2631	13.3513
1.46	0.2634	13.486
1.48	0.2636	13.5844
1.5	0.2639	13.6812
1.52	0.2641	13.7853
1.54	0.2643	13.8918
1.56	0.2646	14.0071
1.58	0.2648	14.1184
1.6	0.2651	14.2427
1.62	0.2654	14.3629
1.64	0.2656	14.454
1.66	0.2658	14.5581
1.68	0.2661	14.6896
1.7	0.2664	14.8227
1.72	0.2666	14.926
1.74	0.2668	15.0115
1.76	0.2671	15.1381
1.78	0.2674	15.268
1.8	0.2676	15.3648
1.82	0.2678	15.4608
1.84	0.2681	15.5891
1.86	0.2684	15.719
1.88	0.2686	15.8198
1.9	0.2689	15.9198
1.92	0.2691	16.0207
1.94	0.2694	16.1336
1.96	0.2697	16.2692
1.98	0.2699	16.3797
2.	0.2701	16.4692
2.02	0.2703	16.5741
2.04	0.2706	16.7008
2.06	0.2709	16.8113
2.08	0.2711	16.9049
2.1	0.2714	17.0291
2.12	0.2717	17.1662
2.14	0.2719	17.2695
2.16	0.2721	17.3607
2.18	0.2723	17.4728
2.2	0.2727	17.6059
2.22	0.2729	17.7164
2.24	0.2731	17.806
2.26	0.2733	17.9133
2.28	0.2736	18.0407
2.3	0.2739	18.1714
2.32	0.2741	18.2763
2.34	0.2744	18.3763
2.36	0.2746	18.486
2.38	0.2748	18.5836
2.4	0.2751	18.7046
2.42	0.2754	18.837
2.44	0.2756	18.9362
2.46	0.2758	19.0378
2.48	0.2761	19.1742
2.5	0.2764	19.3073
2.52	0.2766	19.4
2.54	0.2768	19.4912
2.56	0.2771	19.6195
2.58	0.2774	19.7518
2.6	0.2776	19.8591
2.62	0.2778	19.9454
2.64	0.2781	20.0535
2.66	0.2784	20.1914
2.68	0.2787	20.3116
2.7	0.2789	20.4044
2.72	0.2791	20.5052
2.74	0.2794	20.6408
2.76	0.2797	20.769
2.78	0.2799	20.861
2.8	0.2801	20.9602
2.82	0.2803	21.0748
2.84	0.2806	21.2055
2.86	0.2809	21.3265
2.88	0.2811	21.4201
2.9	0.2813	21.5274
2.92	0.2816	21.6661
2.94	0.2819	21.8081
2.96	0.2821	21.9227
2.98	0.2823	22.0154
3.	0.2826	22.1421
3.02	0.2829	22.276
3.04	0.2831	22.3801
3.06	0.2833	22.4817
3.08	0.2836	22.6124
3.1	0.2839	22.7463
3.12	0.2841	22.8472
3.14	0.2844	22.9496
3.16	0.2846	23.0771
3.18	0.2849	23.2037
3.2	0.2851	23.3062
3.22	0.2853	23.403
3.24	0.2856	23.5353
3.26	0.2859	23.6781
3.28	0.2861	23.7789
3.3	0.2863	23.8814
3.32	0.2866	24.0161
3.34	0.2869	24.1419
3.36	0.2871	24.2347
3.38	0.2873	24.3315
3.4	0.2876	24.4558
3.42	0.2879	24.5832
3.44	0.2881	24.6937
3.46	0.2883	24.7905
3.48	0.2886	24.9019
3.5	0.2888	25.0342
3.52	0.2891	25.1592
3.54	0.2894	25.2859
3.56	0.2896	25.4117
3.58	0.2899	25.5118
3.6	0.2901	25.632
3.62	0.2904	25.7602
3.64	0.2906	25.8619
3.66	0.2908	25.9555
3.68	0.2911	26.0765
3.7	0.2914	26.216
3.72	0.2917	26.3362
3.74	0.2919	26.4322
3.76	0.2921	26.5403
3.78	0.2924	26.6686
3.8	0.2926	26.7856
3.82	0.2928	26.8808
3.84	0.2931	27.009
3.86	0.2934	27.1583
3.88	0.2936	27.2752
3.9	0.2939	27.3737
3.92	0.2941	27.4898
3.94	0.2944	27.6246
3.96	0.2946	27.7359
3.98	0.2948	27.8367
4.	0.2951	27.9577
4.02	0.2953	28.0755
4.04	0.2956	28.1852
4.06	0.2959	28.3199
4.08	0.2961	28.4498
4.1	0.2963	28.5491
4.12	0.2966	28.658
4.14	0.2969	28.8016
4.16	0.2971	28.9177
4.18	0.2973	29.0049
4.2	0.2976	29.1218
4.22	0.2979	29.2606
4.24	0.2981	29.3832
4.26	0.2983	29.4824
4.28	0.2986	29.5889
4.3	0.2989	29.7333
4.32	0.2992	29.8656
4.34	0.2994	29.9657
4.36	0.2996	30.0705
4.38	0.2998	30.1762
4.4	0.3001	30.2932
4.42	0.3004	30.4263
4.44	0.3007	2.0556
