Zeit	Weg	Kraft
s	mm	N
0.02	0.2409	5.5987
0.04	0.2412	5.7495
0.06	0.2416	5.8964
0.08	0.2418	6.0069
0.1	0.242	6.0875
0.12	0.2422	6.1771
0.14	0.2425	6.3046
0.16	0.2429	6.4393
0.18	0.2431	6.5369
0.2	0.2433	6.628
0.22	0.2436	6.7394
0.24	0.2438	6.8515
0.26	0.2441	6.9628
0.28	0.2443	7.0701
0.3	0.2446	7.1887
0.32	0.2448	7.3065
0.34	0.2451	7.417
0.36	0.2453	7.5243
0.38	0.2456	7.6284
0.4	0.2458	7.7333
0.42	0.2461	7.8478
0.44	0.2464	7.968
0.46	0.2466	8.0729
0.48	0.2468	8.1745
0.5	0.2471	8.2875
0.52	0.2473	8.394
0.54	0.2476	8.5069
0.56	0.2478	8.6206
0.58	0.2481	8.7279
0.6	0.2483	8.8385
0.62	0.2486	8.9474
0.64	0.2488	9.0595
0.66	0.2491	9.1934
0.68	0.2494	9.3104
0.7	0.2496	9.4096
0.72	0.2498	9.5097
0.74	0.2501	9.629
0.76	0.2503	9.7428
0.78	0.2506	9.8549
0.8	0.2508	9.9638
0.82	0.2511	10.0711
0.84	0.2513	10.1776
0.86	0.2516	10.2922
0.88	0.2518	10.4051
0.9	0.2521	10.514
0.92	0.2523	10.6262
0.94	0.2526	10.7391
0.96	0.2528	10.8561
0.98	0.2531	10.9601
1.	0.2534	11.0924
1.02	0.2537	11.2183
1.04	0.2538	11.3135
1.06	0.2541	11.4095
1.08	0.2544	11.5402
1.1	0.2546	11.67
1.12	0.2549	11.7765
1.14	0.2551	11.8733
1.16	0.2553	11.9718
1.18	0.2556	12.0831
1.2	0.2558	12.2065
1.22	0.2561	12.3275
1.24	0.2563	12.4364
1.26	0.2566	12.5502
1.28	0.2568	12.668
1.3	0.2571	12.7849
1.32	0.2573	12.8971
1.34	0.2576	13.0108
1.36	0.2578	13.1197
1.38	0.258	13.2117
1.4	0.2583	13.3254
1.42	0.2586	13.4489
1.44	0.2589	13.5933
1.46	0.2592	13.7183
1.48	0.2594	13.8175
1.5	0.2596	13.9143
1.52	0.2598	14.0152
1.54	0.2601	14.1241
1.56	0.2603	14.2362
1.58	0.2605	14.3395
1.6	0.2608	14.4508
1.62	0.2611	14.5984
1.64	0.2614	14.7332
1.66	0.2616	14.83
1.68	0.2618	14.9179
1.7	0.2621	15.0252
1.72	0.2623	15.1333
1.74	0.2626	15.2462
1.76	0.2628	15.3632
1.78	0.2631	15.4753
1.8	0.2633	15.5899
1.82	0.2636	15.7053
1.84	0.2638	15.8166
1.86	0.2641	15.9255
1.88	0.2643	16.053
1.9	0.2646	16.178
1.92	0.2648	16.2796
1.94	0.2651	16.3797
1.96	0.2654	16.512
1.98	0.2656	16.6515
2.	0.2659	16.758
2.02	0.2661	16.8492
2.04	0.2663	16.9533
2.06	0.2666	17.0743
2.08	0.2668	17.1824
2.1	0.2671	17.2913
2.12	0.2673	17.3945
2.14	0.2676	17.5034
2.16	0.2678	17.614
2.18	0.2681	17.7285
2.2	0.2684	17.8737
2.22	0.2687	17.998
2.24	0.2689	18.0867
2.26	0.2691	18.1787
2.28	0.2693	18.2916
2.3	0.2696	18.4078
2.32	0.2698	18.5094
2.34	0.2701	18.6232
2.36	0.2703	18.7369
2.38	0.2706	18.8499
2.4	0.2708	18.9612
2.42	0.2711	19.0628
2.44	0.2713	19.1838
2.46	0.2716	19.2992
2.48	0.2718	19.4073
2.5	0.2721	19.5283
2.52	0.2723	19.6421
2.54	0.2726	19.7502
2.56	0.2728	19.8575
2.58	0.2731	19.9631
2.6	0.2733	20.0809
2.62	0.2736	20.2011
2.64	0.2738	20.3132
2.66	0.2741	20.4189
2.68	0.2743	20.5214
2.7	0.2746	20.6569
2.72	0.2749	20.7924
2.74	0.2751	20.8957
2.76	0.2753	20.9909
2.78	0.2756	21.099
2.8	0.2758	21.2273
2.82	0.2761	21.3475
2.84	0.2763	21.4556
2.86	0.2766	21.5645
2.88	0.2768	21.6887
2.9	0.2771	21.8234
2.92	0.2773	21.921
2.94	0.2776	22.0235
2.96	0.2778	22.134
2.98	0.2781	22.2389
3.	0.2783	22.3357
3.02	0.2786	22.4519
3.04	0.2789	22.5955
3.06	0.2791	22.7157
3.08	0.2793	22.8076
3.1	0.2796	22.9036
3.12	0.2798	23.0077
3.14	0.2801	23.1465
3.16	0.2804	23.2828
3.18	0.2806	23.3804
3.2	0.2808	23.4724
3.22	0.2811	23.5893
3.24	0.2813	23.7047
3.26	0.2815	23.8136
3.28	0.2818	23.9508
3.3	0.2821	24.1008
3.32	0.2824	24.2113
3.34	0.2826	24.3017
3.36	0.2828	24.4017
3.38	0.2831	24.5348
3.4	0.2834	24.6615
3.42	0.2836	24.768
3.44	0.2838	24.8769
3.46	0.2841	25.0003
3.48	0.2844	25.1382
3.5	0.2846	25.2593
3.52	0.2848	25.3569
3.54	0.2851	25.4674
3.56	0.2854	25.5989
3.58	0.2856	25.7175
3.6	0.2858	25.8256
3.62	0.286	25.9288
3.64	0.2863	26.0515
3.66	0.2866	26.1773
