Zeit	Weg	Kraft
s	mm	N
0.02	0.2461	5.5462
0.04	0.2465	5.6842
0.06	0.2468	5.827
0.08	0.247	5.9278
0.1	0.2473	6.0238
0.12	0.2476	6.1537
0.14	0.2479	6.2876
0.16	0.2481	6.3941
0.18	0.2483	6.4853
0.2	0.2486	6.6168
0.22	0.2489	6.7458
0.24	0.2491	6.8426
0.26	0.2493	6.9362
0.28	0.2496	7.058
0.3	0.2499	7.1952
0.32	0.2502	7.3057
0.34	0.2504	7.4033
0.36	0.2506	7.5106
0.38	0.2509	7.6066
0.4	0.2511	7.7091
0.42	0.2514	7.8228
0.44	0.2516	7.9341
0.46	0.2519	8.0455
0.48	0.2521	8.1503
0.5	0.2524	8.2875
0.52	0.2527	8.4069
0.54	0.2529	8.4859
0.56	0.2531	8.5666
0.58	0.2533	8.6739
0.6	0.2536	8.8127
0.62	0.2539	8.9401
0.64	0.2541	9.0297
0.66	0.2543	9.1257
0.68	0.2546	9.2515
0.7	0.255	9.3943
0.72	0.2552	9.4887
0.74	0.2553	9.5637
0.76	0.2556	9.6678
0.78	0.2559	9.7985
0.8	0.2561	9.9203
0.82	0.2563	10.0122
0.84	0.2566	10.1074
0.86	0.2569	10.2341
0.88	0.2571	10.3616
0.9	0.2574	10.4898
0.92	0.2577	10.5971
0.94	0.2579	10.6939
0.96	0.2581	10.7988
0.98	0.2583	10.9004
1.	0.2586	11.0255
1.02	0.2589	11.1481
1.04	0.2591	11.2449
1.06	0.2593	11.3409
1.08	0.2596	11.4531
1.1	0.2599	11.5886
1.12	0.2602	11.6999
1.14	0.2604	11.7903
1.16	0.2606	11.9032
1.18	0.2609	12.0194
1.2	0.2611	12.1242
1.22	0.2614	12.2509
1.24	0.2617	12.3824
1.26	0.2619	12.4889
1.28	0.2621	12.5744
1.3	0.2623	12.6889
1.32	0.2626	12.8229
1.34	0.2629	12.931
1.36	0.2631	13.0197
1.38	0.2633	13.1262
1.4	0.2636	13.2641
1.42	0.2639	13.3819
1.44	0.2641	13.4755
1.46	0.2644	13.5973
1.48	0.2647	13.7296
1.5	0.2649	13.8329
1.52	0.2651	13.9256
1.54	0.2654	14.0507
1.56	0.2657	14.1903
1.58	0.2659	14.2967
1.6	0.2661	14.3927
1.62	0.2664	14.4976
1.64	0.2666	14.6065
1.66	0.2669	14.7356
1.68	0.2671	14.8469
1.7	0.2674	14.9421
1.72	0.2676	15.0518
1.74	0.2679	15.1704
1.76	0.2681	15.2745
1.78	0.2684	15.381
1.8	0.2687	15.5254
1.82	0.269	15.6464
1.84	0.2691	15.7279
1.86	0.2693	15.815
1.88	0.2696	15.9312
1.9	0.2699	16.061
1.92	0.2701	16.1595
1.94	0.2703	16.2643
1.96	0.2707	16.4039
1.98	0.2709	16.5322
2.	0.2711	16.6282
2.02	0.2713	16.7121
2.04	0.2716	16.8234
2.06	0.2719	16.9613
2.08	0.2721	17.063
2.1	0.2723	17.1493
2.12	0.2726	17.2598
2.14	0.2729	17.4042
2.16	0.2732	17.5236
2.18	0.2734	17.6196
2.2	0.2736	17.7269
2.22	0.2739	17.8342
2.24	0.2741	17.9359
2.26	0.2744	18.0665
2.28	0.2747	18.2021
2.3	0.2749	18.3061
2.32	0.2751	18.3957
2.34	0.2753	18.5038
2.36	0.2756	18.6401
2.38	0.2759	18.7636
2.4	0.2761	18.8596
2.42	0.2764	18.9652
2.44	0.2766	19.083
2.46	0.2769	19.1935
2.48	0.2771	19.2879
2.5	0.2773	19.3855
2.52	0.2776	19.513
2.54	0.2779	19.6396
2.56	0.2782	19.7615
2.58	0.2784	19.8583
2.6	0.2786	19.9623
2.62	0.2789	20.0769
2.64	0.2791	20.1882
2.66	0.2794	20.3036
2.68	0.2796	20.4133
2.7	0.2799	20.5287
2.72	0.2801	20.6464
2.74	0.2804	20.7537
2.76	0.2806	20.8755
2.78	0.2809	21.0022
2.8	0.2811	21.1055
2.82	0.2814	21.216
2.84	0.2816	21.3539
2.86	0.2819	21.4862
2.88	0.2821	21.583
2.9	0.2823	21.6815
2.92	0.2827	21.8186
2.94	0.2829	21.9453
2.96	0.2831	22.0421
2.98	0.2834	22.1461
3.	0.2837	22.2881
3.02	0.2839	22.4156
3.04	0.2841	22.5035
3.06	0.2843	22.6043
3.08	0.2846	22.7318
3.1	0.2849	22.8681
3.12	0.2851	22.9674
3.14	0.2853	23.0497
3.16	0.2856	23.1682
3.18	0.2859	23.3135
3.2	0.2861	23.432
3.22	0.2863	23.5297
3.24	0.2866	23.6499
3.26	0.2869	23.7886
3.28	0.2872	23.9048
3.3	0.2874	23.9967
3.32	0.2876	24.0927
3.34	0.2879	24.221
3.36	0.2882	24.3582
3.38	0.2884	24.4638
3.4	0.2886	24.5534
3.42	0.2889	24.6784
3.44	0.2891	24.8123
3.46	0.2894	24.9342
3.48	0.2896	25.0302
3.5	0.2899	25.1399
3.52	0.2902	25.277
3.54	0.2904	25.3891
3.56	0.2906	25.4819
3.58	0.2909	25.6029
3.6	0.2912	25.7425
3.62	0.2914	25.853
3.64	0.2916	25.9426
3.66	0.2919	26.066
3.68	0.2922	26.2072
3.7	0.2924	26.3193
3.72	0.2926	26.4185
3.74	0.2929	26.5411
3.76	0.2932	26.6815
3.78	0.2934	26.8066
3.8	0.2936	26.9066
3.82	0.2939	27.0187
3.84	0.2942	27.1542
3.86	0.2944	27.2753
3.88	0.2946	27.3713
3.9	0.2948	27.4769
3.92	0.2951	27.61
3.94	0.2954	27.7311
3.96	0.2956	27.8279
3.98	0.2958	27.9497
4.	0.2962	28.0949
4.02	0.2964	28.228
4.04	0.2967	28.3304
4.06	0.2969	28.4329
4.08	0.2971	28.5394
4.1	0.2974	28.6612
4.12	0.2977	28.8032
4.14	0.2979	28.9129
4.16	0.2981	29.0121
4.18	0.2984	29.1243
4.2	0.2986	29.2445
4.22	0.2988	29.3558
4.24	0.2991	29.4752
4.26	0.2994	29.6083
4.28	0.2996	29.7043
4.3	0.2998	29.8164
4.32	0.3001	29.9657
4.34	0.3004	30.0947
4.36	0.3006	30.1948
4.38	0.3008	30.2932
4.4	0.3011	30.4255
4.42	0.3014	30.5522
4.44	0.3016	30.653
4.46	0.3019	30.7635
